FROM,TO,TYPE,WEIGHT
ATM_102,ATM_025,Undirected,152
ATM_072,ATM_028,Undirected,1891
ATM_069,ATM_070,Undirected,109
ATM_087,ATM_120,Undirected,1117
ATM_066,ATM_059,Undirected,327
ATM_036,ATM_037,Undirected,1
ATM_089,ATM_120,Undirected,159
ATM_046,ATM_048,Undirected,20
ATM_115,ATM_076,Undirected,462
ATM_069,ATM_114,Undirected,135
ATM_078,ATM_089,Undirected,1334
ATM_005,ATM_006,Undirected,91
ATM_093,ATM_094,Undirected,2
ATM_110,ATM_111,Undirected,20
ATM_039,ATM_040,Undirected,2
ATM_087,ATM_117,Undirected,120
ATM_085,ATM_084,Undirected,96
ATM_058,ATM_059,Undirected,93
ATM_076,ATM_069,Undirected,138
ATM_035,ATM_039,Undirected,365
ATM_091,ATM_089,Undirected,1184
ATM_071,ATM_113,Undirected,2079
ATM_012,ATM_004,Undirected,110
ATM_030,ATM_029,Undirected,26
ATM_027,ATM_028,Undirected,336
ATM_072,ATM_113,Undirected,639
ATM_079,ATM_103,Undirected,1572
ATM_067,ATM_057,Undirected,240
ATM_051,ATM_053,Undirected,5
ATM_101,ATM_099,Undirected,2
ATM_031,ATM_020,Undirected,327
ATM_063,ATM_064,Undirected,2
ATM_036,ATM_038,Undirected,147
ATM_096,ATM_095,Undirected,1
ATM_048,ATM_045,Undirected,14
ATM_058,ATM_066,Undirected,241
ATM_006,ATM_004,Undirected,120
ATM_068,ATM_069,Undirected,2
ATM_040,ATM_036,Undirected,158
ATM_025,ATM_024,Undirected,79
ATM_023,ATM_020,Undirected,247
ATM_090,ATM_121,Undirected,637
ATM_040,ATM_037,Undirected,157
ATM_022,ATM_032,Undirected,347
ATM_019,ATM_095,Undirected,120
ATM_023,ATM_024,Undirected,245
ATM_068,ATM_114,Undirected,136
ATM_119,ATM_120,Undirected,855
ATM_020,ATM_096,Undirected,80
ATM_080,ATM_081,Undirected,18
ATM_076,ATM_114,Undirected,4
ATM_013,ATM_018,Undirected,170
ATM_106,ATM_105,Undirected,2
ATM_082,ATM_084,Undirected,297
ATM_043,ATM_044,Undirected,2
ATM_010,ATM_005,Undirected,177
ATM_108,ATM_104,Undirected,416
ATM_041,ATM_044,Undirected,111
ATM_024,ATM_097,Undirected,71
ATM_060,ATM_112,Undirected,184
ATM_042,ATM_047,Undirected,142
ATM_015,ATM_014,Undirected,5
ATM_068,ATM_070,Undirected,109
ATM_063,ATM_062,Undirected,129
ATM_026,ATM_027,Undirected,32
ATM_075,ATM_076,Undirected,547
ATM_018,ATM_012,Undirected,152
ATM_041,ATM_042,Undirected,20
ATM_032,ATM_020,Undirected,327
ATM_090,ATM_091,Undirected,1
ATM_005,ATM_004,Undirected,154
ATM_108,ATM_111,Undirected,360
ATM_008,ATM_028,Undirected,791
ATM_009,ATM_007,Undirected,203
ATM_056,ATM_055,Undirected,125
ATM_118,ATM_117,Undirected,1487
ATM_026,ATM_103,Undirected,144
ATM_073,ATM_074,Undirected,2
ATM_050,ATM_055,Undirected,68
ATM_116,ATM_103,Undirected,1590
ATM_088,ATM_117,Undirected,1504
ATM_006,ATM_011,Undirected,147
ATM_017,ATM_016,Undirected,266
ATM_065,ATM_061,Undirected,556
ATM_010,ATM_004,Undirected,156
ATM_051,ATM_054,Undirected,7
ATM_030,ATM_009,Undirected,283
ATM_071,ATM_090,Undirected,2280
ATM_036,ATM_039,Undirected,156
ATM_049,ATM_055,Undirected,64
ATM_001,ATM_015,Undirected,117
ATM_007,ATM_004,Undirected,179
ATM_052,ATM_054,Undirected,5
ATM_086,ATM_084,Undirected,505
ATM_037,ATM_039,Undirected,155
ATM_021,ATM_024,Undirected,394
ATM_019,ATM_094,Undirected,121
ATM_072,ATM_073,Undirected,2
ATM_011,ATM_012,Undirected,23
ATM_043,ATM_042,Undirected,115
ATM_034,ATM_112,Undirected,323
ATM_104,ATM_030,Undirected,268
ATM_071,ATM_121,Undirected,1645
ATM_042,ATM_044,Undirected,114
ATM_007,ATM_008,Undirected,2
ATM_108,ATM_110,Undirected,364
ATM_118,ATM_081,Undirected,1589
ATM_083,ATM_084,Undirected,2
ATM_015,ATM_016,Undirected,24
ATM_009,ATM_010,Undirected,2
ATM_075,ATM_115,Undirected,154
ATM_116,ATM_027,Undirected,1641
ATM_073,ATM_113,Undirected,640
ATM_003,ATM_015,Undirected,169
ATM_004,ATM_011,Undirected,64
ATM_106,ATM_107,Undirected,1
ATM_077,ATM_076,Undirected,453
ATM_085,ATM_083,Undirected,98
ATM_077,ATM_115,Undirected,11
ATM_037,ATM_038,Undirected,148
ATM_111,ATM_033,Undirected,1070
ATM_061,ATM_034,Undirected,427
ATM_050,ATM_109,Undirected,98
ATM_098,ATM_097,Undirected,1
ATM_087,ATM_089,Undirected,1150
ATM_001,ATM_002,Undirected,2
ATM_098,ATM_099,Undirected,1
ATM_080,ATM_083,Undirected,315
ATM_045,ATM_046,Undirected,5
ATM_081,ATM_084,Undirected,329
ATM_035,ATM_041,Undirected,239
ATM_051,ATM_052,Undirected,2
ATM_070,ATM_114,Undirected,225
ATM_017,ATM_003,Undirected,233
ATM_046,ATM_047,Undirected,14
ATM_105,ATM_107,Undirected,2
ATM_079,ATM_027,Undirected,1620
ATM_078,ATM_120,Undirected,1312
ATM_014,ATM_001,Undirected,123
ATM_018,ATM_017,Undirected,2
ATM_088,ATM_081,Undirected,1553
ATM_052,ATM_053,Undirected,2
ATM_022,ATM_031,Undirected,349
ATM_080,ATM_084,Undirected,318
ATM_002,ATM_056,Undirected,246
ATM_072,ATM_074,Undirected,4
ATM_099,ATM_097,Undirected,2
ATM_002,ATM_003,Undirected,136
ATM_029,ATM_105,Undirected,164
ATM_066,ATM_109,Undirected,195
ATM_065,ATM_060,Undirected,557
ATM_098,ATM_100,Undirected,2
ATM_082,ATM_085,Undirected,207
ATM_101,ATM_098,Undirected,3
ATM_053,ATM_055,Undirected,155
ATM_013,ATM_011,Undirected,44
ATM_004,ATM_008,Undirected,178
ATM_014,ATM_016,Undirected,20
ATM_033,ATM_067,Undirected,1058
ATM_021,ATM_097,Undirected,460
ATM_019,ATM_096,Undirected,119
ATM_093,ATM_095,Undirected,3
ATM_099,ATM_100,Undirected,1
ATM_021,ATM_025,Undirected,381
ATM_033,ATM_110,Undirected,1067
ATM_066,ATM_067,Undirected,674
ATM_060,ATM_061,Undirected,2
ATM_091,ATM_121,Undirected,638
ATM_064,ATM_062,Undirected,131
ATM_057,ATM_058,Undirected,2
ATM_081,ATM_083,Undirected,327
ATM_045,ATM_047,Undirected,20
ATM_092,ATM_095,Undirected,2
ATM_065,ATM_042,Undirected,656
ATM_065,ATM_070,Undirected,1140
ATM_100,ATM_101,Undirected,1
ATM_034,ATM_035,Undirected,2
ATM_109,ATM_063,Undirected,607
ATM_031,ATM_032,Undirected,2
ATM_049,ATM_050,Undirected,2
ATM_086,ATM_085,Undirected,412
ATM_119,ATM_089,Undirected,955
ATM_082,ATM_086,Undirected,209
ATM_112,ATM_064,Undirected,256
ATM_056,ATM_054,Undirected,170
ATM_020,ATM_094,Undirected,81
ATM_104,ATM_107,Undirected,117
ATM_062,ATM_112,Undirected,146
ATM_079,ATM_116,Undirected,39
ATM_117,ATM_120,Undirected,1229
ATM_092,ATM_094,Undirected,1
ATM_060,ATM_062,Undirected,311
ATM_012,ATM_013,Undirected,5
ATM_078,ATM_119,Undirected,717
ATM_102,ATM_101,Undirected,159
ATM_001,ATM_003,Undirected,134
ATM_049,ATM_109,Undirected,97
ATM_074,ATM_113,Undirected,640
ATM_061,ATM_112,Undirected,186
ATM_075,ATM_077,Undirected,163
ATM_027,ATM_103,Undirected,130
ATM_025,ATM_097,Undirected,100
ATM_038,ATM_039,Undirected,273
ATM_020,ATM_095,Undirected,81
ATM_102,ATM_019,Undirected,154
ATM_045,ATM_035,Undirected,136
ATM_043,ATM_041,Undirected,114
ATM_007,ATM_021,Undirected,771
ATM_104,ATM_059,Undirected,571
ATM_092,ATM_093,Undirected,1
ATM_047,ATM_048,Undirected,5
ATM_029,ATM_106,Undirected,164
ATM_066,ATM_057,Undirected,737
ATM_022,ATM_023,Undirected,177
ATM_088,ATM_118,Undirected,39
ATM_026,ATM_028,Undirected,316
